Data;Hora (UTC);Temp. [Hora] (C);Umi. (%);Pressao (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Nebulosidade (Decimos);Insolacao (h);Temp. Max. [Diaria] (h);Temp. Min. [Diaria] (h);Chuva [Diaria] (mm)
30/04/2021;1800;28;41;1007,5;2,1;90;0;;;;
01/05/2021;0;18,4;71;1007,1;0,5;90;0;9,5;27,8;;
01/05/2021;1200;19,8;64;1008,4;2,6;50;6;;;11,6;0
01/05/2021;1800;27,8;47;1004,8;2,1;140;0;;;;
02/05/2021;0;17,8;84;1005,4;0;0;0;8,5;30,6;;
02/05/2021;1200;16,6;90;1006,8;0;0;2;;;11,4;0
02/05/2021;1800;30;47;1002,8;1,6;230;2;;;;
03/05/2021;0;20,6;82;1003,8;0;0;7;8,5;33,4;;
03/05/2021;1200;20;87;1003,5;0,3;360;0;;;14,8;0
03/05/2021;1800;33,4;36;999,8;3,3;360;5;;;;
04/05/2021;0;22,8;78;1000,4;0,5;50;10;0;27,4;;
04/05/2021;1200;27,4;49;1000,7;6,6;360;10;;;18,2;0
04/05/2021;1800;20,6;97;1003,2;1;90;10;;;;
05/05/2021;0;18,2;96;1006,3;3,3;140;10;0;18,2;;
05/05/2021;1200;13,6;95;1010,2;2,5;140;10;;;13,6;30,4
05/05/2021;1800;14,6;93;1007,5;2,1;140;10;;;;
06/05/2021;0;14,2;98;1008,6;1,5;140;10;3,6;16,8;;
06/05/2021;1200;12,4;86;1001,9;1;230;10;;;11;1,6
06/05/2021;1800;16;56;1010,7;2,6;230;4;;;;
07/05/2021;0;11;90;1012;0;0;3;9,7;18,6;;
07/05/2021;1200;9,4;97;1013,9;0,8;230;6;;;4,8;0
07/05/2021;1800;18,6;49;1012,4;1,6;230;7;;;;
08/05/2021;0;9,4;92;1013,6;0;0;6;9,2;20,6;;
08/05/2021;1200;9,8;97;1015,9;0,8;50;3;;;5,8;0
08/05/2021;1800;20,6;58;1011,9;3,3;140;0;;;;
09/05/2021;0;13,4;89;1012,4;1,3;140;0;6,4;23,6;;
09/05/2021;1200;12;100;1012,6;0,3;140;10;;;11,4;0
09/05/2021;1800;23,4;60;1008,4;2,6;140;0;;;;
10/05/2021;0;16,4;87;1008,4;1,3;140;7;0,9;24,8;;
